id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName,colorgroup
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt,Blue
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Peter England Men Party Blue Jeans,Blue
59263,Women,Accessories,Watches,Watches,Silver,Winter,Casual,Titan Women Silver Watch,Grey
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,Manchester United Men Solid Black Track Pants,Black
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt,Grey
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt,Grey
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt,Green
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,Jealous 21 Women Purple Shirt,Purple
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,Casual,Puma Men Pack of 3 Socks,Blue
30039,Men,Accessories,Watches,Watches,Black,Winter,Casual,Skagen Men Black Watch,Black
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Black
48123,Women,Accessories,Belts,Belts,Black,Summer,Casual,Fossil Women Black Huarache Weave Belt,Black
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual,Fila Men Cush Flex Black Slippers,Black
47957,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,Murcia Women Blue Handbag,Blue
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Casual,Ben 10 Boys Navy Blue Slippers,Blue
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts,Purple
29928,Men,Accessories,Watches,Watches,Black,Winter,Casual,Police Men Black Dial Watch PL12889JVSB,Black
42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual,Gini and Jony Girls Knit White Top,White
47359,Women,Accessories,Bags,Handbags,Brown,Summer,Casual,Baggit Women Brown Handbag,Brown
17429,Men,Accessories,Watches,Watches,Black,Winter,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Black
12967,Men,Footwear,Sandal,Sandals,Black,Fall,Casual,ADIDAS Men Spry M Black Sandals,Black
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Grey
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,Buckaroo Men Flores Black Formal Shoes,Black
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Casual,Pitaraa Women Bronze Beaded Bracelet,Metallic
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt,Blue
21977,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,Brown
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt,Blue
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Green
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt,Brown
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual,Gas Men Europa White Shoes,White
59051,Women,Footwear,Shoes,Flats,Black,Winter,Casual,Carlton London Women Black & Gold Toned Flats,Black
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Diva Women Embroided Green Kurta,Green
58183,Women,Accessories,Bags,Handbags,White,Summer,Casual,Rocky S Women White Handbag,White
29742,Women,Accessories,Bags,Handbags,Teal,Summer,Casual,Kiara Women Teal Handbag,Blue
51658,Women,Accessories,Watches,Watches,Copper,Winter,Casual,Fossil Women Copper Chronograph Watch CH2589,Metallic
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt,Pink
18839,Men,Accessories,Belts,Belts,Black,Fall,Formal,Peter England Men Formal Black Belt,Black
2886,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Catwalk Women Leather Brown Flats,Brown
